# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.tasksExecuted,1777214058054000000,1777214066244000000,26
writeAction.wait.ms,1777214058054000000,1777214066244000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1777214058054000000,1777214066244000000,25713
DiskQueryRelay.tasksRequested,1777214058054000000,1777214066244000000,26
writeAction.max.wait.ms,1777214058054000000,1777214066244000000,0
writeAction.median.wait.ms,1777214058054000000,1777214066244000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1777214058054000000,1777214066244000000,8114
writeAction.count,1777214058054000000,1777214066244000000,1
Indexing.cache.totalCacheEvicted,1777214058054000000,1777214066244000000,0
Indexing.writesQueuedMax,1777214058054000000,1777214066244000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1777214058054000000,1777214066244000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1777214058054000000,1777214066244000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1777214058054000000,1777214066244000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1777214058054000000,1777214066244000000,0
Indexing.cache.totalCacheAccesses,1777214058054000000,1777214066244000000,0
Indexing.cache.totalCacheMisses,1777214058054000000,1777214066244000000,0
Indexing.totalTimeIndexersSleptMs,1777214058054000000,1777214066244000000,0
Indexing.writesQueuedMin,1777214058054000000,1777214066244000000,9223372036854775807
FilePageCache.pageLoads,1777214058054000000,1777214066244000000,193
FilePageCache.totalPageDisposalsUs,1777214058054000000,1777214066244000000,586
FilePageCache.maxCacheSizeInBytes,1777214058054000000,1777214066244000000,195051520
DirectByteBufferAllocator.misses,1777214058054000000,1777214066244000000,188
StorageLockContext.competingThreads.max,1777214058054000000,1777214066244000000,0
DirectByteBufferAllocator.reclaimed,1777214058054000000,1777214066244000000,47
DirectByteBufferAllocator.disposed,1777214058054000000,1777214066244000000,146
FilePageCache.disposedBuffers,1777214058054000000,1777214066244000000,193
FilePageCache.pageHits,1777214058054000000,1777214066244000000,0
FilePageCache.capacityInBytes,1777214058054000000,1777214066244000000,629145600
DirectByteBufferAllocator.hits,1777214058054000000,1777214066244000000,5
FileChannelInterruptsRetryer.totalRetriedAttempts,1777214058054000000,1777214066244000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1777214058054000000,1777214066244000000,0
FilePageCache.uncachedFileAccess,1777214058054000000,1777214066244000000,336
FilePageCache.pageFastCacheHits,1777214058054000000,1777214066244000000,13125
FilePageCache.maxRegisteredFiles,1777214058054000000,1777214066244000000,520
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1777214058054000000,1777214066244000000,41959424
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1777214058054000000,1777214066244000000,41959424
FilePageCache.totalPageLoadsUs,1777214058054000000,1777214066244000000,251020
StorageLockContext.competingThreads.90P,1777214058054000000,1777214066244000000,0
StorageLockContext.competingThreads.avg,1777214058054000000,1777214066244000000,0.0
workspaceModel.save.cache.to.file.ms,1777214058054000000,1777214066244000000,0
jps.global.initialize.library.bridges.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777214058054000000,1777214066244000000,0
jps.library.entities.serializer.save.entities.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1777214058054000000,1777214066244000000,0
jps.global.get.libraries.ms,1777214058054000000,1777214066244000000,0
jps.save.global.entities.ms,1777214058054000000,1777214066244000000,47
jps.library.entities.serializer.load.entities.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777214058054000000,1777214066244000000,0
jps.global.handle.changed.events.ms,1777214058054000000,1777214066244000000,0
jps.global.initialize.library.bridges.after.loading.ms,1777214058054000000,1777214066244000000,2
workspaceModel.global.apply.state.to.project.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777214058054000000,1777214066244000000,0
jps.global.get.library.by.name.ms,1777214058054000000,1777214066244000000,0
jps.load.initial.state.ms,1777214058054000000,1777214066244000000,16
jps.global.get.library.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777214058054000000,1777214066244000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777214058054000000,1777214066244000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777214058054000000,1777214066244000000,0
workspaceModel.load.cache.from.file.ms,1777214058054000000,1777214066244000000,0
jps.app.storage.content.reader.load.component.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777214058054000000,1777214066244000000,0
workspaceModel.global.updates.count,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.entities.ms,1777214058054000000,1777214066244000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777214058054000000,1777214066244000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777214058054000000,1777214066244000000,0
