# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777213565330000000,1777213571262000000,0
workspaceModel.global.apply.state.to.project.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777213565330000000,1777213571262000000,0
jps.library.entities.serializer.save.entities.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777213565330000000,1777213571262000000,0
jps.global.handle.before.change.events.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1777213565330000000,1777213571262000000,0
jps.load.initial.state.ms,1777213565330000000,1777213571262000000,18
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1777213565330000000,1777213571262000000,0
jps.save.global.entities.ms,1777213565330000000,1777213571262000000,61
workspaceModel.sync.entities.ms,1777213565330000000,1777213571262000000,0
jps.global.get.library.by.name.ms,1777213565330000000,1777213571262000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777213565330000000,1777213571262000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1777213565330000000,1777213571262000000,0
workspaceModel.global.updates.count,1777213565330000000,1777213571262000000,0
AWTEventQueue.dispatchTimeTotalNS,1777213565330000000,1777213571262000000,1178393180
VFS.fileChildByName,1777213565330000000,1777213571262000000,18
VFS.fileByIdCache.hits,1777213565330000000,1777213571262000000,0
VFS.fileByIdCache.misses,1777213565330000000,1777213571262000000,0
VFS.invertedFileNameIndex.requests,1777213565330000000,1777213571262000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1777213565330000000,1777213571262000000,2
writeAction.median.wait.ms,1777213565330000000,1777213571262000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1777213565330000000,1777213571262000000,24950
writeAction.count,1777213565330000000,1777213571262000000,2
DiskQueryRelay.tasksExecuted,1777213565330000000,1777213571262000000,26
writeAction.max.wait.ms,1777213565330000000,1777213571262000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1777213565330000000,1777213571262000000,11024
writeAction.wait.ms,1777213565330000000,1777213571262000000,1
DiskQueryRelay.tasksRequested,1777213565330000000,1777213571262000000,26
