# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.modifiable.module.model.bridge.renaming.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1777195924439000000,1777195984737000000,6
jps.artifact.entities.serializer.load.entities.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777195924439000000,1777195984737000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777195924439000000,1777195984737000000,123
workspaceModel.global.updates.ms,1777195924439000000,1777195984737000000,31
workspaceModel.mutableEntityStorage.collect.changes.ms,1777195924439000000,1777195984737000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1777195924439000000,1777195984737000000,11
jps.load.initial.state.ms,1777195924439000000,1777195984737000000,34
workspaceModel.mutableEntityStorage.entities.by.source.ms,1777195924439000000,1777195984737000000,1
workspaceModel.sync.entities.ms,1777195924439000000,1777195984737000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1777195924439000000,1777195984737000000,8
jps.load.project.to.empty.storage.ms,1777195924439000000,1777195984737000000,76
jps.reload.project.entities.ms,1777195924439000000,1777195984737000000,7
workspaceModel.load.cache.from.file.ms,1777195924439000000,1777195984737000000,2
jps.global.initialize.library.bridges.ms,1777195924439000000,1777195984737000000,2
jps.project.serializers.save.ms,1777195924439000000,1777195984737000000,2
jps.project.serializers.load.ms,1777195924439000000,1777195984737000000,8
jps.save.changed.project.entities.ms,1777195924439000000,1777195984737000000,2
jps.global.get.library.ms,1777195924439000000,1777195984737000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1777195924439000000,1777195984737000000,1013
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1777195924439000000,1777195984737000000,0
jps.library.entities.serializer.save.entities.ms,1777195924439000000,1777195984737000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1777195924439000000,1777195984737000000,0
workspaceModel.load.cache.metadata.from.file.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1777195924439000000,1777195984737000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1777195924439000000,1777195984737000000,0
workspaceModel.do.save.caches.ms,1777195924439000000,1777195984737000000,259
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1777195924439000000,1777195984737000000,45
jps.modifiable.module.model.bridge.new.module.ms,1777195924439000000,1777195984737000000,136
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1777195924439000000,1777195984737000000,0
jps.facet.change.listener.init.bridge.ms,1777195924439000000,1777195984737000000,1
jps.modifiable.module.model.bridge.disposing.ms,1777195924439000000,1777195984737000000,0
jps.artifact.entities.serializer.save.entities.ms,1777195924439000000,1777195984737000000,0
jps.facet.change.listener.before.change.events.ms,1777195924439000000,1777195984737000000,0
jps.apply.loaded.storage.ms,1777195924439000000,1777195984737000000,830
workspaceModel.moduleManagerBridge.get.modules.ms,1777195924439000000,1777195984737000000,5
workspaceModel.moduleBridge.update.option.ms,1777195924439000000,1777195984737000000,0
jps.storage.jps.conf.reader.load.component.ms,1777195924439000000,1777195984737000000,4
workspaceModel.moduleManagerBridge.newModule.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.instances.count,1777195924439000000,1777195984737000000,35
jps.global.handle.changed.events.ms,1777195924439000000,1777195984737000000,0
workspaceModel.global.updates.count,1777195924439000000,1777195984737000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1777195924439000000,1777195984737000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1777195924439000000,1777195984737000000,2
jps.global.get.library.by.name.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1777195924439000000,1777195984737000000,8
workspaceModel.save.cache.to.file.ms,1777195924439000000,1777195984737000000,269
jps.global.get.libraries.ms,1777195924439000000,1777195984737000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1777195924439000000,1777195984737000000,10
jps.global.handle.before.change.events.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1777195924439000000,1777195984737000000,8
workspaceModel.mutableEntityStorage.put.entity.ms,1777195924439000000,1777195984737000000,36
workspaceModel.mutableEntityStorage.referrers.ms,1777195924439000000,1777195984737000000,0
jps.modifiable.module.model.bridge.load.module.ms,1777195924439000000,1777195984737000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1777195924439000000,1777195984737000000,0
jps.library.entities.serializer.load.entities.ms,1777195924439000000,1777195984737000000,1
jps.global.initialize.library.bridges.after.loading.ms,1777195924439000000,1777195984737000000,4
workspaceModel.mutableEntityStorage.add.entity.ms,1777195924439000000,1777195984737000000,61
workspaceModel.mutableEntityStorage.entities.ms,1777195924439000000,1777195984737000000,2
workspaceModel.moduleBridge.before.changed.ms,1777195924439000000,1777195984737000000,0
jps.facet.change.listener.process.change.events.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1777195924439000000,1777195984737000000,0
jps.app.storage.content.reader.load.component.ms,1777195924439000000,1777195984737000000,2
jps.save.global.entities.ms,1777195924439000000,1777195984737000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1777195924439000000,1777195984737000000,18
workspaceModel.global.apply.state.to.project.ms,1777195924439000000,1777195984737000000,0
workspaceModel.orphan.listener.update.ms,1777195924439000000,1777195984737000000,5
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1777195924439000000,1777195984737000000,0
JVM.totalSafepointCount,1777195924439000000,1777195984737000000,175
JVM.usedNativeBytes,1777195924439000000,1777195984737000000,354849496
JVM.GC.collections,1777195924439000000,1777195984737000000,41
OS.loadAverage,1777195924439000000,1777195984737000000,4.541015625
JVM.maxThreadCount,1777195924439000000,1777195984737000000,126
JVM.totalTimeToSafepointsMs,1777195924439000000,1777195984737000000,79
JVM.newThreadsCount,1777195924439000000,1777195984737000000,159
JVM.totalDirectByteBuffersBytes,1777195924439000000,1777195984737000000,286348551
JVM.maxHeapBytes,1777195924439000000,1777195984737000000,2147483648
JVM.totalBytesAllocated,1777195924439000000,1777195984737000000,1938171168
JVM.usedHeapBytes,1777195924439000000,1777195984737000000,366947496
JVM.threadCount,1777195924439000000,1777195984737000000,125
JVM.totalTimeAtSafepointsMs,1777195924439000000,1777195984737000000,744
JVM.GC.collectionTimesMs,1777195924439000000,1777195984737000000,551
JVM.totalCpuTimeMs,1777195924439000000,1777195984737000000,155380
workspaceModel.on.before.changed.ms,1777195924439000000,1777195984737000000,58
workspaceModel.full.replace.project.model.ms,1777195924439000000,1777195984737000000,145
workspaceModel.check.recursive.update.ms,1777195924439000000,1777195984737000000,0
workspaceModel.updates.count,1777195924439000000,1777195984737000000,4
workspaceModel.cachedValueWithParameters.clear.count,1777195924439000000,1777195984737000000,0
workspaceModel.collect.changes.ms,1777195924439000000,1777195984737000000,0
workspaceModel.update.unloaded.entities.ms,1777195924439000000,1777195984737000000,0
workspaceModel.pre.handlers.ms,1777195924439000000,1777195984737000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1777195924439000000,1777195984737000000,0
workspaceModel.updates.precise.ms,1777195924439000000,1777195984737000000,7
workspaceModel.updates.ms,1777195924439000000,1777195984737000000,132
workspaceModel.cachedValueWithParameters.total.get.count,1777195924439000000,1777195984737000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1777195924439000000,1777195984737000000,5
workspaceModel.init.bridges.ms,1777195924439000000,1777195984737000000,8
workspaceModel.on.changed.ms,1777195924439000000,1777195984737000000,194
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1777195924439000000,1777195984737000000,5
workspaceModel.workspaceFileIndexData.instances.count,1777195924439000000,1777195984737000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1777195924439000000,1777195984737000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1777195924439000000,1777195984737000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1777195924439000000,1777195984737000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1777195924439000000,1777195984737000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1777195924439000000,1777195984737000000,95
workspaceModel.loading.total.ms,1777195924439000000,1777195984737000000,20
workspaceModel.cachedValue.from.cache.count,1777195924439000000,1777195984737000000,146
workspaceModel.workspaceFileIndexData.init.ms,1777195924439000000,1777195984737000000,3
workspaceModel.initializing.ms,1777195924439000000,1777195984737000000,3
workspaceModel.cachedValue.total.get.count,1777195924439000000,1777195984737000000,166
workspaceModel.entityStorageSnapshotImpl.instances.count,1777195924439000000,1777195984737000000,26
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1777195924439000000,1777195984737000000,7
workspaceModel.cachedValue.clear.count,1777195924439000000,1777195984737000000,1
workspaceModel.replace.project.model.ms,1777195924439000000,1777195984737000000,0
workspaceModel.to.snapshot.ms,1777195924439000000,1777195984737000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1777195924439000000,1777195984737000000,1
workspaceModel.cachedValue.calculated.count,1777195924439000000,1777195984737000000,20
workspaceModel.loading.from.cache.ms,1777195924439000000,1777195984737000000,4
workspaceModel.cachedValueWithParameters.from.cache.count,1777195924439000000,1777195984737000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1777195924439000000,1777195984737000000,0
compiler.ArtifactManagerBridge.commit.ms,1777195924439000000,1777195984737000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1777195924439000000,1777195984737000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1777195924439000000,1777195984737000000,4
compiler.ArtifactManagerBridge.initBridges.ms,1777195924439000000,1777195984737000000,1
compiler.ArtifactManagerBridge.getArtifacts.ms,1777195924439000000,1777195984737000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1777195924439000000,1777195984737000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1777195924439000000,1777195984737000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1777195924439000000,1777195984737000000,0
cacheStateStorage.get.duration,1777195924439000000,1777195984737000000,0
cacheStateStorage.set.duration,1777195924439000000,1777195984737000000,181
cacheStateStorage.get.counter,1777195924439000000,1777195984737000000,38
cacheStateStorage.set.counter,1777195924439000000,1777195984737000000,5
VFS.fileByIdCache.misses,1777195924439000000,1777195984737000000,29
VFS.contentStorage.recordsDeduplicated,1777195924439000000,1777195984737000000,2
VFS.contentStorage.recordsDecompressionTimeUs,1777195924439000000,1777195984737000000,0
VFS.contentStorage.recordsRead,1777195924439000000,1777195984737000000,13
VFS.contentStorage.recordsReadDecompressed,1777195924439000000,1777195984737000000,0
FileNameCache.totalMisses,1777195924439000000,1777195984737000000,0
VFS.contentStorage.recordsStoredCompressed,1777195924439000000,1777195984737000000,1
FileNameCache.queries,1777195924439000000,1777195984737000000,330304
VFS.contentStorage.recordsStoredSize,1777195924439000000,1777195984737000000,3655
VFS.contentStorage.recordsUncompressedSize,1777195924439000000,1777195984737000000,26006
VFS.contentStorage.recordsReadSize,1777195924439000000,1777195984737000000,1870
VFS.fileByIdCache.hits,1777195924439000000,1777195984737000000,2
VFS.contentStorage.recordsStored,1777195924439000000,1777195984737000000,8
VFS.invertedFileNameIndex.requests,1777195924439000000,1777195984737000000,1
VFS.fileChildByName,1777195924439000000,1777195984737000000,5777
FlushQueue.queueSize90P,1777195924439000000,1777195984737000000,0
AWTEventQueue.dispatchTime90PNs,1777195924439000000,1777195984737000000,0
NonBlockingReadAction.failedExecutionsCount,1777195924439000000,1777195984737000000,1
FlushQueue.executionTimeMaxNs,1777195924439000000,1777195984737000000,0
FlushQueue.executionTimeAvgNs,1777195924439000000,1777195984737000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1777195924439000000,1777195984737000000,0
FlushQueue.queueSizeAvg,1777195924439000000,1777195984737000000,0.0
FlushQueue.waitingTime90PNs,1777195924439000000,1777195984737000000,0
NonBlockingReadAction.finalizedExecutionsCount,1777195924439000000,1777195984737000000,45
